Genesis;[0]1,[1]1,[4]1,[2]1,[3]1
[0]1;[2]2,[1]2,[4]2,[0]2
[1]1;[1]2,[4]2,[0]2,[2]3,[3]2
[4]1;[2]3,[3]2
[2]1;[2]4,[3]3
[3]1;[2]4,[3]3
[2]2;[1]3,[0]3
[1]2;[0]3,[4]3,[1]4
[4]2;[1]4
[0]2;[2]5,[0]4
[1]3;[4]3
[2]3;[4]5,[3]4,[0]5
[3]2;[2]6,[4]6
[0]3;[4]4,[1]5
[4]3;[4]4,[1]5
[2]4;[2]5,[0]4
[1]4;[2]6,[4]6
[3]3;[4]5,[3]4,[0]5
[4]4;[1]6
[2]5;[1]8,[0]7
[0]4;[2]7,[0]8,[4]8,[1]10
[1]5;[3]5,[0]6
[1]6;[1]7,[3]5,[0]6
[4]5;[0]8,[4]8,[1]10
[3]4;[1]8
[0]5;[3]8,[2]7
[1]7;[3]6
[3]5;[4]12
[2]6;[0]7
[4]6;[3]8
[0]6;[4]7
[3]6;[4]7,[3]7,[1]9
[1]8;[4]9,[3]10,[1]11
[0]7;[4]9
[4]7;[3]9,[0]9,[2]8
[3]7;[2]8
[1]9;[2]16,[4]18,[1]20
[3]8;[3]10,[1]11,[0]11
[2]7;[1]12,[4]11
[0]8;[0]11,[4]11
[4]8;[1]12
[1]10;[2]14,[4]17
[3]9;[0]10
[0]9;[2]9
[2]8;[2]9
[0]10;[4]10
[4]9;[4]12
[3]10;[0]14
[1]11;[0]14,[2]12,[4]14,[1]15
[4]10;[3]11,[0]12,[2]10
[0]11;[4]15
[2]9;[3]21
[3]11;[3]12,[1]13,[2]11
[1]12;[2]12,[1]15
[4]11;[4]15
[0]12;[2]11
[2]10;[2]21,[3]26
[3]12;[0]13,[3]13
[1]13;[4]27
[0]13;[1]14,[4]13
[4]12;[4]14,[0]15,[2]13
[3]13;[1]32
[2]11;[2]22
[1]14;[3]14
[4]13;[3]15
[3]14;[3]15,[1]16
[0]14;[0]15,[2]13
[2]12;[4]16,[0]16
[4]14;[1]17
[1]15;[4]17,[2]15
[3]15;[3]16
[1]16;[4]36
[0]15;[2]14
[3]16;[3]17
[2]13;[2]15,[1]19,[3]19
[4]15;[1]17,[4]16,[0]16
[3]17;[3]18,[1]18
[1]17;[1]19
[4]16;[4]18,[3]20
[2]14;[3]19
[3]18;[0]17
[1]18;[2]17
[0]16;[0]18,[3]20
[4]17;[1]21
[2]15;
[0]17;[4]19,[0]19,[2]17
[1]19;[2]16,[1]20
[3]19;[0]18
[2]16;[4]20
[4]18;[1]21,[3]21,[2]18
